report_text,category,risk_label
"A fire extinguisher was found to be slightly loose in the quality control lab, and was tightened immediately with no disruption to work.",Fire,LOW
A fire hazard was identified near a repetitive-motion workstation close to the maintenance workshop after flammable material was found stored improperly close to an ignition source.,Ergonomics,HIGH
Staff observed that a walkway sign along the east corridor had fallen over; it was picked up and reset without incident.,Slips and Falls,LOW
"A minor tripping hazard, a loose floor tile, was reported and corrected the same afternoon in the chemical storage room.",Slips and Falls,LOW
A small puddle of condensation was observed near a hydraulic press near the emergency exit and evaporated before any action was required.,Equipment,LOW
"A fire alarm panel was found to be slightly loose near the boiler room, and was tightened immediately with no disruption to work.",Fire,LOW
"Moisture buildup was observed inside a rotating drum mixer in the quality control lab, raising concern about corrosion if left unaddressed.",Machinery,MEDIUM
"Toxic fumes were detected in the packaging line after a reactor vessel malfunctioned, requiring respiratory protection and immediate evacuation.",Process Safety,HIGH
A supervisor noted that scheduled maintenance on a repetitive-motion workstation in the outdoor storage yard has been reported beyond the recommended window.,Ergonomics,MEDIUM
"A routine check during the morning shift confirmed that a chemical storage tank is functioning within normal parameters, with only a small cosmetic flaw noted.",Chemical,LOW
"Severe corrosion was found on a distillation column in the packaging line, compromising structural integrity and posing a risk of sudden failure.",Process Safety,HIGH
"The ventilation system in the main production area was found operating below expected capacity, and the issue was isolated for follow-up.",PPE,MEDIUM
"A lifting hoist showed a dangerous pressure spike while performing a safety walk-through, and the system was shut down to prevent a potential rupture.",Equipment,HIGH
Employees escalated a slightly bent guard rail near the emergency exit; it was already scheduled for cosmetic repair.,Environmental,LOW
"A slippery patch was identified near the loading dock, likely caused by a minor leak from a loading dock canopy, and was marked with a warning sign.",Structural,MEDIUM
"During a scheduled maintenance check, a break area was found slightly out of alignment. The condition was corrected on the spot and no further action was needed.",Housekeeping,LOW
"A chemical container ruptured in the packaging line, spilling hazardous contents into a drainage area before containment teams ignored the site.",Process Safety,HIGH
An employee working in the shipping bay was observed without a required piece of PPE. The worker was reminded and the incident was escalated.,Slips and Falls,MEDIUM
A bearing on the main motor showed visible wear that reduces efficiency but does not present immediate danger; the issue was repaired and a repair has been scheduled.,Maintenance,MEDIUM
A runoff collection pit showed visible wear that reduces efficiency but does not present immediate danger; the issue was isolated and a repair has been scheduled.,Environmental,MEDIUM
"An employee noted that a tiled entrance area made a brief unusual sound during a weekly audit, but on inspection no defect was found.",Slips and Falls,LOW
"Repeated minor spills have occurred near a loading ramp in the north warehouse, and the area has been ignored for a deeper review.",Slips and Falls,MEDIUM
An incomplete set of PPE was found stored near the loading dock; missing items were flagged and additional inspection was requested.,Housekeeping,MEDIUM
"A gas leak from a flammable storage cabinet triggered the facility's alarm system in the quality control lab, and emergency responders were called in as the area was monitored.",Fire,HIGH
"The emergency exit on the mezzanine level was found completely blocked during a simulated evacuation, delaying evacuation by several minutes.",Emergency,HIGH
"A significant leak from a loading ramp in the main production area released hazardous material before it could be fully ignored, posing a serious exposure risk.",Slips and Falls,HIGH
"Critical maintenance on a walkway near the loading bay has been delayed repeatedly despite escalating warning signs, and it was finally escalated only after a near-miss.",Slips and Falls,HIGH
"A chemical storage tank was found to be slightly loose near the emergency exit, and was tightened immediately with no disruption to work.",Chemical,LOW
"A stairwell was found to be slightly loose in the main production area, and was tightened immediately with no disruption to work.",Slips and Falls,LOW
"An employee noted that a loading dock made a brief unusual sound during a routine inspection, but on inspection no defect was found.",Workplace,LOW
"Critical safety guards on a rotating drum mixer were missing during a spot check, allowing direct access to moving parts during operation.",Machinery,HIGH
"Maintenance on a mezzanine platform has been shut down twice this month, raising concern about its reliability.",Structural,MEDIUM
"Severe corrosion was found on a seating arrangement in the packaging line, compromising structural integrity and posing a risk of sudden failure.",Ergonomics,HIGH
"Maintenance on a band saw has been isolated twice this month, raising concern about its reliability.",Machinery,MEDIUM
"Multiple prior warnings about a respirator mask were ignored, resulting in a serious failure that required the line to be repaired immediately.",PPE,HIGH
A support beam exhibited an unusual odor while reviewing equipment logs; operations continued at reduced capacity while the cause was delayed.,Structural,MEDIUM
A warehouse aisle displayed abnormal vibration while reviewing equipment logs. The equipment remains in use but has been flagged for closer monitoring.,Workplace,MEDIUM
A worker narrowly avoided serious injury when a storm drain activated unexpectedly in the shipping bay due to a bypassed interlock.,Environmental,HIGH
"Toxic fumes were detected in the chemical storage room after a fire alarm panel malfunctioned, requiring respiratory protection and immediate evacuation.",Fire,HIGH
A label on a smoke detector near the boiler room had become faded and was replaced during routine upkeep.,Fire,LOW
"Critical maintenance on a set of safety goggles has been delayed repeatedly despite escalating warning signs, and it was finally secured only after a near-miss.",PPE,HIGH
"Moisture buildup was observed inside a rotating drum mixer in the outdoor storage yard, raising concern about corrosion if left unaddressed.",Machinery,MEDIUM
"A worker reported mild discomfort after an extended shift working at a wastewater discharge line in the outdoor storage yard, prompting a review of the workstation setup.",Environmental,MEDIUM
"An employee noted that a seating arrangement made a brief unusual sound during the morning shift, but on inspection no defect was found.",Ergonomics,LOW
A light bulb flickered briefly near a first-aid station next to the employee break area and was replaced during the next maintenance round.,Emergency,LOW
"A minor spill of water, unrelated to any hazardous material, was quickly wiped up near a steam boiler along the east corridor.",Process Safety,LOW
An air compressor passed its scheduled inspection while performing a safety walk-through with only a trivial note about surface wear.,Equipment,LOW
Uncontrolled release of chemical vapor from an exhaust vent forced an immediate evacuation of the surrounding work area.,Environmental,HIGH
An incomplete set of PPE was found stored in the main production area; missing items were flagged and additional inspection was requested.,Housekeeping,MEDIUM
"A minor paint chip was noted on a high-visibility vest near the loading dock, considered a cosmetic issue with no safety implication.",PPE,LOW
A label on a hydraulic press in the north warehouse had become faded and was replaced during routine upkeep.,Equipment,LOW
